hand,draws_left,best_draw,hand_after,bet_model,value_heuristic,position,num_cards_kept,num_opponent_kept,action,pot_size,bet_size,pot_odds,bet_this_hand,actions_this_round,actions_full_hand,total_bet,result,margin_bet,margin_result,current_margin_result,future_margin_result
"[Ts,5d,4h,Qc,Tc]",3,"[5d,4h]","[5d,4h,3h,5c,4c]",man,0.3,1,0,0,draw,400.0,0,0.0,200.0,,010,700.0,1400.0,500.0,900.0,400.0,500.0
"[6h,4s,3d,5s,Kd]",2,,,CNN_4,0.378539,0,4,2,bet_small,400.0,100.0,4.0,200.0,,010,700.0,0.0,500.0,-500.0,-100.0,-400.0
"[5d,4h,3h,5c,4c]",2,,,man,0.3,1,2,4,call_small,500.0,100.0,5.0,200.0,1,0101,700.0,1400.0,500.0,900.0,500.0,400.0
"[6h,4s,3d,5s,Kd]",2,"[6h,4s,3d,5s]","[6h,4s,3d,5s,Qh]",CNN_4,0.378539,0,0,0,draw,600.0,0,0.0,300.0,,01010,700.0,0.0,400.0,-400.0,0,-400.0
"[5d,4h,3h,5c,4c]",2,"[5d,4h,3h]","[5d,4h,3h,9c,8h]",man,0.3,1,0,0,draw,600.0,0,0.0,300.0,,01010,700.0,1400.0,400.0,1000.0,600.0,400.0
"[6h,4s,3d,5s,Qh]",1,,,CNN_4,0.224261,0,4,3,bet_big,600.0,200.0,3.0,300.0,,01010,700.0,0.0,400.0,-400.0,-200.0,-200.0
"[5d,4h,3h,9c,8h]",1,,,man,0.3,1,3,4,call_big,800.0,200.0,4.0,300.0,1,010101,700.0,1400.0,400.0,1000.0,800.0,200.0
"[6h,4s,3d,5s,Qh]",1,"[6h,4s,3d,5s]","[6h,4s,3d,5s,6c]",CNN_4,0.224261,0,0,0,draw,1000.0,0,0.0,500.0,,0101010,700.0,0.0,200.0,-200.0,0,-200.0
"[5d,4h,3h,9c,8h]",1,"[5d,4h,3h,9c,8h]","[5d,4h,3h,9c,8h]",man,0.3,1,0,0,draw,1000.0,0,0.0,500.0,,0101010,700.0,1400.0,200.0,1200.0,1000.0,200.0
"[6h,4s,3d,5s,6c]",0,,,CNN_4,0.0690238,0,4,5,bet_big,1000.0,200.0,5.0,500.0,,0101010,700.0,0.0,200.0,-200.0,-200.0,0.0
"[5d,4h,3h,9c,8h]",0,,,man,0.3,1,5,4,call_big,1200.0,200.0,6.0,500.0,1,01010101,700.0,1400.0,200.0,1200.0,1200.0,0.0
